station_index,lat,lon,scenario,year,quantile,metric,rp_years,height_m_above_MSL,height_m_above_MHHW
0,34.82666,24.08936,ssp245,2030,p05,SLR_only,,0.072,
1,34.87061,24.08936,ssp245,2030,p05,SLR_only,,0.072,
2,35.36865,26.90186,ssp245,2030,p05,SLR_only,,0.072,
3,35.39795,26.88721,ssp245,2030,p05,SLR_only,,0.072,
4,35.42725,26.96045,ssp245,2030,p05,SLR_only,,0.072,
5,35.42725,27.01904,ssp245,2030,p05,SLR_only,,0.072,
6,35.3833,26.9458,ssp245,2030,p05,SLR_only,,0.072,
7,35.50049,12.57568,ssp245,2030,p05,SLR_only,,0.072,
8,35.50049,12.61963,ssp245,2030,p05,SLR_only,,0.072,
9,35.61768,23.78174,ssp245,2030,p05,SLR_only,,0.072,
10,35.54443,23.81104,ssp245,2030,p05,SLR_only,,0.072,
11,35.52978,23.89893,ssp245,2030,p05,SLR_only,,0.072,
12,35.52978,23.98682,ssp245,2030,p05,SLR_only,,0.072,
13,35.57373,24.07471,ssp245,2030,p05,SLR_only,,0.072,
14,35.58838,24.14795,ssp245,2030,p05,SLR_only,,0.072,
15,35.52978,24.20654,ssp245,2030,p05,SLR_only,,0.072,
16,35.45654,24.25049,ssp245,2030,p05,SLR_only,,0.072,
17,35.36865,24.29443,ssp245,2030,p05,SLR_only,,0.072,
18,35.36865,24.38232,ssp245,2030,p05,SLR_only,,0.072,
19,35.36865,24.47021,ssp245,2030,p05,SLR_only,,0.072,
20,35.3833,24.55811,ssp245,2030,p05,SLR_only,,0.072,
21,35.4126,24.646,ssp245,2030,p05,SLR_only,,0.072,
22,35.42725,24.73389,ssp245,2030,p05,SLR_only,,0.072,
23,35.4126,24.82178,ssp245,2030,p05,SLR_only,,0.072,
24,35.42725,24.90967,ssp245,2030,p05,SLR_only,,0.072,
25,35.4126,24.99756,ssp245,2030,p05,SLR_only,,0.072,
26,35.37598,25.0708,ssp245,2030,p05,SLR_only,,0.072,
27,35.354,25.15869,ssp245,2030,p05,SLR_only,,0.072,
28,35.33936,25.24658,ssp245,2030,p05,SLR_only,,0.072,
29,35.33936,25.33447,ssp245,2030,p05,SLR_only,,0.072,
30,35.31006,25.42236,ssp245,2030,p05,SLR_only,,0.072,
31,35.31006,25.49561,ssp245,2030,p05,SLR_only,,0.072,
32,35.32471,25.5835,ssp245,2030,p05,SLR_only,,0.072,
33,35.33936,25.67139,ssp245,2030,p05,SLR_only,,0.072,
34,35.32471,25.75928,ssp245,2030,p05,SLR_only,,0.072,
35,35.25146,25.74463,ssp245,2030,p05,SLR_only,,0.072,
36,35.16357,25.72998,ssp245,2030,p05,SLR_only,,0.072,
37,35.13428,25.81787,ssp245,2030,p05,SLR_only,,0.072,
38,35.17822,25.89111,ssp245,2030,p05,SLR_only,,0.072,
39,35.19287,25.979,ssp245,2030,p05,SLR_only,,0.072,
40,35.23682,26.06689,ssp245,2030,p05,SLR_only,,0.072,
41,35.20752,26.15479,ssp245,2030,p05,SLR_only,,0.072,
42,35.31006,26.30127,ssp245,2030,p05,SLR_only,,0.072,
43,35.23682,26.28662,ssp245,2030,p05,SLR_only,,0.072,
44,35.16357,26.30127,ssp245,2030,p05,SLR_only,,0.072,
45,35.07568,26.27197,ssp245,2030,p05,SLR_only,,0.072,
46,35.01709,26.19873,ssp245,2030,p05,SLR_only,,0.072,
47,35.00244,26.12549,ssp245,2030,p05,SLR_only,,0.072,
48,35.01709,26.0376,ssp245,2030,p05,SLR_only,,0.072,
49,35.03174,25.94971,ssp245,2030,p05,SLR_only,,0.072,
50,35.01709,25.86182,ssp245,2030,p05,SLR_only,,0.072,
51,35.00244,25.75928,ssp245,2030,p05,SLR_only,,0.072,
52,35.01709,25.67139,ssp245,2030,p05,SLR_only,,0.072,
53,35.00244,25.5835,ssp245,2030,p05,SLR_only,,0.072,
54,34.98779,25.49561,ssp245,2030,p05,SLR_only,,0.072,
55,34.98779,25.40771,ssp245,2030,p05,SLR_only,,0.072,
56,34.98779,25.31982,ssp245,2030,p05,SLR_only,,0.072,
57,34.9585,25.23193,ssp245,2030,p05,SLR_only,,0.072,
58,34.94385,25.14404,ssp245,2030,p05,SLR_only,,0.072,
59,34.94385,25.05615,ssp245,2030,p05,SLR_only,,0.072,
60,34.9292,24.96826,ssp245,2030,p05,SLR_only,,0.072,
61,34.9292,24.88037,ssp245,2030,p05,SLR_only,,0.072,
62,34.9292,24.77783,ssp245,2030,p05,SLR_only,,0.072,
63,34.98779,24.74854,ssp245,2030,p05,SLR_only,,0.072,
64,35.07568,24.73389,ssp245,2030,p05,SLR_only,,0.072,
65,35.09033,24.646,ssp245,2030,p05,SLR_only,,0.072,
66,35.11963,24.55811,ssp245,2030,p05,SLR_only,,0.072,
67,35.14893,24.48486,ssp245,2030,p05,SLR_only,,0.072,
68,35.17822,24.39697,ssp245,2030,p05,SLR_only,,0.072,
69,35.17822,24.30908,ssp245,2030,p05,SLR_only,,0.072,
70,35.19287,24.22119,ssp245,2030,p05,SLR_only,,0.072,
71,35.19287,24.1333,ssp245,2030,p05,SLR_only,,0.072,
72,35.19287,24.03076,ssp245,2030,p05,SLR_only,,0.072,
73,35.22217,23.95752,ssp245,2030,p05,SLR_only,,0.072,
74,35.23682,23.86963,ssp245,2030,p05,SLR_only,,0.072,
75,35.23682,23.78174,ssp245,2030,p05,SLR_only,,0.072,
76,35.23682,23.69385,ssp245,2030,p05,SLR_only,,0.072,
77,35.23682,23.59131,ssp245,2030,p05,SLR_only,,0.072,
78,35.29541,23.53271,ssp245,2030,p05,SLR_only,,0.072,
79,35.3833,23.53271,ssp245,2030,p05,SLR_only,,0.072,
80,35.47119,23.56201,ssp245,2030,p05,SLR_only,,0.072,
81,35.55908,23.57666,ssp245,2030,p05,SLR_only,,0.072,
82,35.61035,23.63347,ssp245,2030,p05,SLR_only,,0.072,
83,35.64697,23.7085,ssp245,2030,p05,SLR_only,,0.072,
84,35.66162,23.78174,ssp245,2030,p05,SLR_only,,0.072,
85,35.3833,34.09424,ssp245,2030,p05,SLR_only,,0.072,
86,35.31006,34.03564,ssp245,2030,p05,SLR_only,,0.072,
87,35.29541,33.94775,ssp245,2030,p05,SLR_only,,0.072,
88,35.22217,33.91846,ssp245,2030,p05,SLR_only,,0.072,
89,35.14893,33.93311,ssp245,2030,p05,SLR_only,,0.072,
90,35.07568,33.9917,ssp245,2030,p05,SLR_only,,0.072,
91,35.01709,34.06494,ssp245,2030,p05,SLR_only,,0.072,
92,34.96498,34.06245,ssp245,2030,p05,SLR_only,,0.072,
93,34.98779,33.9624,ssp245,2030,p05,SLR_only,,0.072,
94,34.9585,33.88916,ssp245,2030,p05,SLR_only,,0.072,
95,34.9585,33.80127,ssp245,2030,p05,SLR_only,,0.072,
96,34.97314,33.71338,ssp245,2030,p05,SLR_only,,0.072,
97,34.91455,33.64014,ssp245,2030,p05,SLR_only,,0.072,
98,34.79736,33.5376,ssp245,2030,p05,SLR_only,,0.072,
99,34.76807,33.44971,ssp245,2030,p05,SLR_only,,0.072,
0,34.82666,24.08936,ssp245,2030,p05,SLR_plus_RP,2,0.32165462854430993,
1,34.87061,24.08936,ssp245,2030,p05,SLR_plus_RP,2,0.3204284283961011,
2,35.36865,26.90186,ssp245,2030,p05,SLR_plus_RP,2,0.3621798254343874,
3,35.39795,26.88721,ssp245,2030,p05,SLR_plus_RP,2,0.3571858803417008,
4,35.42725,26.96045,ssp245,2030,p05,SLR_plus_RP,2,0.3525249503195857,
5,35.42725,27.01904,ssp245,2030,p05,SLR_plus_RP,2,0.3588299874320831,
6,35.3833,26.9458,ssp245,2030,p05,SLR_plus_RP,2,0.36290004101284223,
7,35.50049,12.57568,ssp245,2030,p05,SLR_plus_RP,2,0.40844127452597695,
8,35.50049,12.61963,ssp245,2030,p05,SLR_plus_RP,2,0.39840646659033363,
9,35.61768,23.78174,ssp245,2030,p05,SLR_plus_RP,2,0.32327330910068885,
